state	edge_type	consumer_or_authority	producer_or_projection	detail
baseline	include	src/accounts/provider.c	include/yvex/internal/core.h	yvex/internal/core.h
baseline	include	src/accounts/provider.c	include/yvex/internal/io.h	yvex/internal/io.h
baseline	include	src/accounts/provider.c	include/yvex/source.h	yvex/source.h
baseline	include	src/artifact/core.c	include/yvex/artifact.h	yvex/artifact.h
baseline	include	src/artifact/core.c	include/yvex/internal/artifact.h	yvex/internal/artifact.h
baseline	include	src/artifact/descriptor.c	include/yvex/internal/artifact.h	yvex/internal/artifact.h
baseline	include	src/artifact/descriptor.c	include/yvex/internal/core.h	yvex/internal/core.h
baseline	include	src/artifact/descriptor.c	include/yvex/internal/families/deepseek_v4.h	yvex/internal/families/deepseek_v4.h
baseline	include	src/artifact/identity.c	include/yvex/artifact.h	yvex/artifact.h
baseline	include	src/artifact/identity.c	include/yvex/internal/artifact.h	yvex/internal/artifact.h
baseline	include	src/artifact/identity.c	include/yvex/internal/core.h	yvex/internal/core.h
baseline	include	src/artifact/integrity.c	include/yvex/artifact.h	yvex/artifact.h
baseline	include	src/artifact/integrity.c	include/yvex/internal/core.h	yvex/internal/core.h
baseline	include	src/artifact/integrity.c	include/yvex/model.h	yvex/model.h
baseline	include	src/artifact/integrity.c	include/yvex/qtype.h	yvex/qtype.h
baseline	include	src/artifact/materialize.c	include/yvex/gguf.h	yvex/gguf.h
baseline	include	src/artifact/materialize.c	include/yvex/internal/artifact.h	yvex/internal/artifact.h
baseline	include	src/artifact/materialize.c	include/yvex/internal/core.h	yvex/internal/core.h
baseline	include	src/artifact/materialize.c	include/yvex/internal/quant_numeric.h	yvex/internal/quant_numeric.h
baseline	include	src/artifact/roundtrip_gate.c	include/yvex/internal/artifact.h	yvex/internal/artifact.h
baseline	include	src/artifact/roundtrip_gate.c	include/yvex/internal/core.h	yvex/internal/core.h
baseline	include	src/artifact/roundtrip_gate.c	include/yvex/internal/families/deepseek_v4.h	yvex/internal/families/deepseek_v4.h
baseline	include	src/artifact/roundtrip_gate.c	include/yvex/internal/gguf.h	yvex/internal/gguf.h
baseline	include	src/backend/core.c	include/yvex/internal/backend.h	yvex/internal/backend.h
